Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
2000;17/10/2000;Japan;Uzbekistan;8.0;1.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Japan;;Uzbekistan
2000;17/10/2000;Saudi Arabia;Qatar;0.0;0.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Draw;;Draw
2000;18/10/2000;Iran;Iraq;1.0;0.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Iran;;Iraq
2000;18/10/2000;Lebanon;Thailand;1.0;1.0;FALSE;AFC Asian Cup;Beirut;Lebanon;FALSE;Draw;;Draw
2000;19/10/2000;China PR;Kuwait;0.0;0.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;Draw;;Draw
2000;19/10/2000;South Korea;Indonesia;3.0;0.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;South Korea;;Indonesia
2000;20/10/2000;Japan;Qatar;1.0;1.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;Draw;;Draw
2000;20/10/2000;Saudi Arabia;Uzbekistan;5.0;0.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Saudi Arabia;;Uzbekistan
2000;23/10/2000;China PR;Qatar;3.0;1.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;China PR;;Qatar
2000;23/10/2000;Iran;South Korea;1.0;2.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;South Korea;;Iran
2000;24/10/2000;Japan;Iraq;4.0;1.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;Japan;;Iraq
2000;24/10/2000;Kuwait;Saudi Arabia;2.0;3.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;Saudi Arabia;;Kuwait
2000;26/10/2000;China PR;Japan;2.0;3.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;Japan;;China PR
